MAE,RMSE,sMAPE,model
1.0411,2.2186,130.4323,moving_average
0.9851,2.2597,193.7689,sarima
0.9851,2.2597,193.7689,sarima
0.9851,2.2597,193.7689,sarima
0.9851,2.2597,193.7689,sarima
0.9851,2.2597,193.7689,sarima
0.9947,2.2585,194.4149,sarima
0.7991,1.4755,132.0417,moving_average
0.7991,1.4755,132.0417,moving_average
0.9994,2.2584,194.1855,sarima
0.7991,1.4755,132.0417,moving_average
0.7991,1.4755,132.0417,moving_average
0.7991,1.4755,132.0417,moving_average
0.9983,2.2613,192.5393,sarima
0.7991,1.4755,132.0417,moving_average
0.7991,1.4755,132.0417,moving_average
0.7991,1.4755,132.0417,moving_average
3.488911746913486e+25,1.7875387764539634e+27,149.6429,sarima
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.8039,1.4687,138.9349,moving_average
0.7658,1.5345,149.4294,sarima
0.8039,1.4687,138.9349,moving_average
0.7664,1.4887,146.5791,sarima
0.7616,1.3744,132.4769,moving_average
5.7973,10.9182,153.3236,sarima
0.7616,1.3744,132.4769,moving_average
5.7973,10.9182,153.3236,sarima
0.7616,1.3744,132.4769,moving_average
5.7973,10.9182,153.3236,sarima
0.7616,1.3744,132.4769,moving_average
5.7973,10.9182,153.3236,sarima
0.7902,1.4919,151.8402,lgbm
0.9812,2.0413,162.2339,lgbm
1.0864,2.23,173.5116,lgbm
1.0864,2.23,173.5116,lgbm
1.1394,2.2296,168.0722,lgbm
1.2702,2.3826,166.48,lgbm
